cluster,Name,Postal Code,fips
0,Colorado,CO,8
0,Connecticut,CT,9
0,Delaware,DE,10
0,Illinois,IL,17
0,Indiana,IN,18
0,Iowa,IA,19
0,Maine,ME,23
0,Maryland,MD,24
0,Massachusetts,MA,25
0,Michigan,MI,26
0,Minnesota,MN,27
0,Montana,MT,30
0,Nebraska,NE,31
0,New Hampshire,NH,33
0,New Jersey,NJ,34
0,New Mexico,NM,35
0,New York,NY,36
0,North Dakota,ND,38
0,Ohio,OH,39
0,Pennsylvania,PA,42
0,South Dakota,SD,46
0,Tennessee,TN,47
0,Vermont,VT,50
0,Wisconsin,WI,55
0,Wyoming,WY,56
1,Alabama,AL,1
1,Arkansas,AR,5
1,California,CA,6
1,Florida,FL,12
1,Georgia,GA,13
1,Hawaii,HI,15
1,Idaho,ID,16
1,Kentucky,KY,21
1,Louisiana,LA,22
1,Mississippi,MS,28
1,Missouri,MO,29
1,Nevada,NV,32
1,North Carolina,NC,37
1,Oklahoma,OK,40
1,South Carolina,SC,45
1,Texas,TX,48
1,Virgin Islands,VI,78
1,Virginia,VA,51
1,Washington,WA,53
1,West Virginia,WV,54
2,Alaska,AK,2
3,Arizona,AZ,4
4,Kansas,KS,20
5,Northern Mariana Islands,MP,69
6,Oregon,OR,41
7,Puerto Rico,PR,72
8,Rhode Island,RI,44
9,Utah,UT,49
